time,volume,epotential,ekinetic,temperature,pressure
63.0,11883.569768,-351.6022694810008,70.12470206682515,94.51091001705176,-8.281639061191758
64.0,11883.569768,-349.33578730579194,67.08364833698401,90.41231498638558,74.28684864720029
65.0,11883.569768,-350.4334053590066,67.38539044762103,90.81898939107103,112.09851123456157
66.0,11883.569768,-352.24578550772645,68.52637110248534,92.35675164637895,12.208246569422684
67.0,11883.569768,-349.1164793402813,64.73152862134368,87.24223414123098,132.24528886239165
68.0,11883.569768,-348.40410812469673,63.43356432770724,85.49289641934917,85.9694383126005
69.0,11883.569768,-352.0176889652953,66.50314030291132,89.629932445635,-14.042599711655214
70.0,11883.569768,-352.07458998268294,66.03519047982995,88.99925078399183,-65.9579796623704
71.0,11883.569768,-348.0494629156375,61.566648039295295,82.97675086517158,97.0568252894634
72.0,11883.569768,-351.03904186532606,64.19828642845738,86.52355436899967,-9.467960969313552
73.0,11883.569768,-352.06606320375585,64.85958447122556,87.41482203891373,-35.96799705971212
74.00000000000001,11883.569768,-349.47933038498775,62.05102745111731,83.62957558535645,13.238040355573437
75.0,11883.569768,-353.3311979054381,65.72451741972495,88.58053964850171,-92.1996919689947
76.0,11883.569768,-350.3019700889453,62.64211300343155,84.42621402802556,75.44458492274529
77.0,11883.569768,-347.66774860571513,59.94785941587977,80.79502058447167,99.73221200672879
78.0,11883.569768,-352.78783035200695,65.09054487993885,87.72610005881322,-72.23129132180817
79.0,11883.569768,-353.3243410869196,65.74242083571477,88.60466906492331,-71.9815989109447
80.0,11883.569768,-350.3957612722085,62.96809856903245,84.86556266765335,25.909628831888575
81.0,11883.569768,-351.2601227890401,64.1177567463059,86.41502009620852,12.028880125801798
82.00000000000001,11883.569768,-346.5101238475581,59.635389621868356,80.37388789207581,132.7715182238121
83.0,11883.569768,-350.4501651849419,63.93908589882646,86.17421558808087,76.38089337992345
84.0,11883.569768,-351.3122671060809,65.21198281768538,87.88976863306372,29.701616901180618
85.0,11883.569768,-349.8023378901871,64.21881191757609,86.55121769729882,18.50410809758748
86.0,11883.569768,-346.57868332971185,61.484989169491385,82.86669472420179,174.23117081579232
87.0,11883.569768,-348.5087174324143,64.01000344389197,86.26979505612523,50.28534231403625
88.0,11883.569768,-347.9483606395433,64.12353796911965,86.42281176751742,140.72505169961337
89.0,11883.569768,-351.54920711510476,68.46560583844465,92.27485496471549,-21.599608686197783
90.00000000000001,11883.569768,-347.63576030721765,65.25304191696385,87.9451062348348,72.61090330166112
91.0,11883.569768,-345.10373824064175,63.53251684186833,85.6262601540418,149.67214757727348
92.0,11883.569768,-347.6618333516658,66.84251334431728,90.08732412122411,68.82835246444068
93.0,11883.569768,-346.23880779260253,66.29342921635849,89.34729330355515,188.19422759028552
94.0,11883.569768,-348.34640348516115,69.27614427258209,93.36726210166312,100.37186145963113
95.0,11883.569768,-350.221214813002,71.97643796742958,97.00659612935202,103.54503091590486
96.0,11883.569768,-349.4640400502624,72.1837356364931,97.28598257621259,132.6886694779751
97.0,11883.569768,-349.3434463570593,72.87027276428964,98.21126634635557,46.04916313121951
98.00000000000001,11883.569768,-347.61915953044127,72.02433082654497,97.07114396435031,186.51902158786228
99.0,11883.569768,-346.71807291291435,72.00319620314843,97.04265967235047,151.4373768592406
